id;source_id;source_uid;civilite;nom;prenom;groupe_politique;groupe_politique_court;image;actif
1;Tasty Computers;cross-platform;M;Maryland;Borders;Home Loan Account Ohio;Cambridgeshire Optimization synthesize;gold;true
2;asymmetric;ability;MME;relationships Oregon Concrete;Dominican Republic;web-readiness architectures;Bahraini Dinar Oklahoma Group;Cotton bi-directional;true
3;aggregate;policy back-end application;MME;Advanced;high-level Sports Consultant;Berkshire Program;Berkshire;mint green Incredible Wooden Computer;true
4;grey Trinidad and Tobago Dollar;Advanced withdrawal Shoes;M;invoice;navigating;copying;integrated;Tuvalu Sleek;true
5;circuit;Kina;MME;sky blue connect;input Savings Account;adapter;Checking Account Cambridgeshire;Taka;true
6;Borders world-class;Ergonomic Cotton Bacon Fantastic Plastic Pants;MME;Soap;withdrawal Glen;Dynamic Cambridgeshire;Gibraltar Pound Hill Pine;scalable primary;false
7;Sports Division;Horizontal Triple-buffered;M;Cotton;hack THX matrix;connecting;Health Circles;hard drive EXE;true
8;CSS;Iraqi Dinar Sports Proactive;M;Cambridgeshire;Administrator Berkshire;Chief Markets Fantastic Concrete Computer;Synchronised Handmade Fresh Chair;Auto Loan Account calculate;true
9;West Virginia FTP;Handcrafted Cambridgeshire;MME;solid state Interactions;Field Tasty protocol;sensor Persistent pink;District;neural-net hack;true
10;Infrastructure;infrastructures Fish Keyboard;M;mint green directional optimizing;sensor;Product next-generation;front-end users;black;false
