id;entity;entity_id;parent_entity;parent_entity_id;action;user;date;details;update_description
1;bandwidth indigo;84304;Maine Steel sticky;67603;UPDATE;Computer Bhutan;2020-10-18T14:13:53;Phased Brand;override Lek e-enable
2;synergy;24430;Analyst;8877;CREATE;Home Loan Account reboot;2020-10-18T02:10:38;cyan;silver
3;Internal;82496;District bus;53011;DELETE;Focused Identity Flats;2020-10-18T02:27:43;Distributed Incredible Metal Bacon;maximize bus
4;digital redundant Ergonomic;49091;primary;35157;CLOSE;Producer Plastic;2020-10-18T13:40:29;Incredible Metal Bacon;Bedfordshire Credit Card Account
5;payment;93519;Kentucky;90948;CREATE;Savings Account;2020-10-18T18:05:53;process improvement pink Texas;Practical Djibouti Franc challenge
6;primary Practical Soft Shoes;51334;Quality Roads Riel;39301;DELETE;Kids;2020-10-17T22:09:58;Cheese Stream Gorgeous;Self-enabling
7;Licensed e-services Buckinghamshire;39245;Incredible Cotton Shirt;15914;UPDATE;frictionless strategy;2020-10-18T18:27:58;Illinois;Customer Swaziland
8;Handcrafted Cotton Soap Berkshire;23191;Tala Extended interactive;46139;CREATE;Savings Account Frozen;2020-10-18T08:52:03;Idaho moratorium protocol;Kenyan Shilling Central Cotton
9;virtual Engineer Principal;25187;Consultant;218;CREATE;ivory panel matrix;2020-10-17T23:15:34;Canyon Equatorial Guinea auxiliary;transmitting alarm
10;SMS Face to face Grocery;9422;Metrics;75650;DELETE;Yuan Renminbi;2020-10-18T00:40:49;white Ouguiya artificial intelligence;Practical Concrete Cheese
